region,scenario,sector,indicator,year,value,unit,version,comments,source
RUS,Historical,LULUCF,Emissions (absolute),1991,-36.08,MtCO2e (GWP-AR4),2023-11-01,Historical emissions/removals from forestry,Latest country assessment
PHL,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1991,111.6,MtCO2e (GWP-AR4),2023-05-01,"Historical emissions, excl forestry",Latest country assessment
PER,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1991,54.2,MtCO2e (GWP-AR4),2022-09-01,"Historical emissions, excl forestry",Latest country assessment
NOR,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1991,48.33,MtCO2e (GWP-AR4),2023-11-01,"Historical emissions, excl forestry",Latest country assessment
NOR,Historical,LULUCF,Emissions (absolute),1991,-11.61,MtCO2e (GWP-AR4),2023-11-01,Historical emissions/removals from forestry,Latest country assessment
NGA,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1991,208.14,MtCO2e (GWP-AR4),2023-06-01,"Historical emissions, excl forestry",Latest country assessment
NZL,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1991,66.18,MtCO2e (GWP-AR4),2022-10-01,"Historical emissions, excl forestry",Latest country assessment
NZL,Historical,LULUCF,Emissions (absolute),1991,-23.28,MtCO2e (GWP-AR4),2022-10-01,Historical emissions/removals from forestry,Latest country assessment
NPL,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1991,23.9,MtCO2e (GWP-AR4),2023-08-01,"Historical emissions, excl forestry",Latest country assessment
MAR,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1991,37.6,MtCO2e (GWP-AR4),2023-04-01,"Historical emissions, excl forestry",Latest country assessment
MEX,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1991,467.07,MtCO2e (GWP-AR4),2023-10-01,"Historical emissions, excl forestry",Latest country assessment
MEX,Historical,LULUCF,Emissions (absolute),1991,-147.22,MtCO2e (GWP-AR4),2023-10-01,Historical emissions/removals from forestry,Latest country assessment
KEN,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1991,39.8,MtCO2e (GWP-AR4),2022-05-01,"Historical emissions, excl forestry",Latest country assessment
KAZ,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1991,374.54,MtCO2e (GWP-AR4),2023-09-01,"Historical emissions, excl forestry",Latest country assessment
